Region and State,Highways
Connecticut,596
Maine,813
Massachusetts,488
New Hampshire,573
Rhode Island,620
Vermont,"1,138"
Delaware,800
District of Columbia,"1,004"
Maryland,488
New Jersey,468
New York,609
Pennsylvania,820
Illinois,708
Indiana,562
Michigan,583
Ohio,511
Wisconsin,684
Iowa,984
Kansas,685
Minnesota,992
Missouri,466
Nebraska,959
North Dakota,"1,740"
South Dakota,"1,353"
Alabama,505
Arkansas,725
Florida,556
Georgia,478
Kentucky,502
Louisiana,512
Mississippi,633
North Carolina,498
South Carolina,425
Tennessee,392
Virginia,796
West Virginia,979
Arizona,405
New Mexico,597
Oklahoma,766
Texas,659
Colorado,620
Idaho,682
Montana,913
Utah,758
Wyoming,"1,281"
California,607
Nevada,669
Oregon,630
Washington,638
