State,Percentage of S&L Expenditures less Federal Funding Covered by S&L Roadway Revenues (Census & FHWA),Rank
Alabama,74.90%,18
Alaska,19.40%,50
Arizona,67.30%,23
Arkansas,55.10%,35
California,89.20%,11
Colorado,58.00%,33
Connecticut,48.70%,41
Delaware,100.00%,1
Florida,77.70%,16
Georgia,58.40%,32
Hawaii,97.20%,7
Idaho,78.90%,14
Illinois,95.40%,8
Indiana,76.20%,17
Iowa,61.60%,31
Kansas,57.40%,34
Kentucky,54.70%,36
Louisiana,47.90%,43
Maine,54.40%,37
Massachusetts,82.20%,12
Maryland,93.20%,10
Michigan,64.50%,26
Minnesota,44.10%,45
Mississippi,52.70%,38
Missouri,65.50%,25
Montana,100.00%,1
Nebraska,43.00%,46
Nevada,52.20%,39
New Hampshire,79.70%,13
New Jersey,100.00%,1
New Mexico,64.10%,27
New York,93.80%,9
North Carolina,68.80%,22
North Dakota,35.10%,49
Ohio,99.00%,5
Oklahoma,72.10%,21
Oregon,74.40%,19
Pennsylvania,73.40%,20
Rhode Island,61.60%,30
South Carolina,99.10%,4
South Dakota,41.60%,47
Tennessee,97.20%,6
Texas,65.90%,24
Utah,41.60%,48
Virginia,44.70%,44
Vermont,48.30%,42
West Virginia,52.10%,40
Washington,78.40%,15
Wisconsin,62.40%,28
Wyoming,61.70%,29
District of Columbia,18.90%,-51
